09:04:37,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:04:47,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
09:04:57,138272,ILASP,19.9g,19.4g,12476,99.5,2.6
09:05:07,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:05:17,138272,ILASP,19.9g,19.4g,12476,99.2,2.6
09:05:27,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:05:37,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:05:47,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:05:57,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:06:07,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:06:17,138272,ILASP,19.9g,19.4g,12476,99.2,2.6
09:06:27,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:06:37,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:06:47,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:06:57,138272,ILASP,19.9g,19.4g,12476,99.2,2.6
09:07:07,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:07:17,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:07:27,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:07:37,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:07:47,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:07:57,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:08:07,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:08:17,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:08:27,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:08:37,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:08:47,138272,ILASP,19.9g,19.4g,12476,99.2,2.6
09:08:57,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:09:08,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:09:18,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:09:28,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:09:38,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:09:48,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:09:58,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:10:08,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:10:18,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:10:28,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:10:38,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:10:48,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:10:58,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:11:08,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:11:18,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:11:28,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:11:38,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:11:48,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:11:58,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:12:08,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:12:18,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:12:28,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:12:38,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:12:48,138272,ILASP,19.9g,19.4g,12476,99.3,2.6
09:12:58,138272,ILASP,19.9g,19.4g,12476,99.4,2.6
09:13:08,138272,ILASP,19.9g,19.4g,12476,99.2,2.6
09:13:18,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:13:28,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:13:38,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:13:48,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
09:13:58,138272,ILASP,19.9g,19.4g,12476,99.0,2.6
09:14:08,138272,ILASP,19.9g,19.4g,12476,98.9,2.6
09:14:18,138272,ILASP,19.9g,19.4g,12476,99.1,2.6
